x,y,h,w,c_x,c_y,class
301.44717,17.78027,465.005,144.31918000000002,373,250,3
302.80048,18.84327,461.93546,141.28949,373,249,3
301.75473,17.740875,464.02628,143.35468,373,249,3
302.46655,17.484642,464.16852,142.98602,373,249,3
303.04156,16.914768,464.5283,141.69748,373,249,3
303.1212,16.494713,462.7178,141.31174,373,247,3
304.3688,16.72062,463.2316,140.3605,374,248,3
305.4813,19.963917000000002,458.47875999999997,139.41461,375,249,3
304.45224,17.534392999999998,463.0326,140.16675,374,249,3
304.4126,18.058532999999997,460.5213,140.81989,374,248,3
304.0425,20.8257,457.4878,140.81259,374,249,3
305.409,16.894398000000002,462.93048,140.44482,375,248,3
303.46948,19.588467,458.89645,141.51825,374,249,3
305.63998,19.721645000000002,459.61386,138.98447,375,249,3
305.33838,18.166164000000002,461.00516,140.28403,375,248,3
304.80392,22.025585,458.42602999999997,141.04553,375,251,3
306.1665,18.268919,462.47882000000004,139.78766000000002,376,249,3
306.24242999999996,21.125078,458.00153,137.69754,375,250,3
305.11062999999996,19.456345000000002,460.44342,139.44046,374,249,3
307.16156,20.132246,459.59,139.22256000000002,376,249,3
305.06847999999997,22.019289999999998,457.40778,139.97333,375,250,3
304.43723,21.794242999999998,457.0667,140.6542,374,250,3
304.55875,23.745260000000002,455.35684000000003,139.59525,374,251,3
304.30002,23.122887,455.8497,141.50333,375,251,3
304.69702,21.077528,456.5779,139.98483000000002,374,249,3
305.5017,20.446170000000002,457.4429,140.14276,375,249,3
304.2703,22.354416,454.74194000000006,139.30704,373,249,3
301.43765,18.074757,459.64355,142.82034,372,247,3
301.62354,15.932364000000002,461.09778,141.01273,372,246,3
297.08867999999995,5.5936145999999995,469.3181,145.95172,370,240,3
296.23846000000003,-0.64674854,477.6794,145.7782,369,238,3
295.54537999999997,-1.1067152,479.00015,145.58221,368,238,3
293.84564,0.11764526,474.54916,147.00586,367,237,3
294.4864,0.28102398,472.06653,145.29504,367,236,3
296.74817,-6.162429,477.1542,141.83173,367,232,3
295.76312,-7.517023,481.5537,141.8135,366,233,3
296.85565,-7.2422075,477.90475,141.1236,367,231,3
296.49927,-6.524477,478.28665,141.83585,367,232,3
296.3239,-6.608691,478.80344,142.03826999999998,367,232,3
294.6308,-5.310788,477.64984000000004,144.32238999999998,366,233,3
295.51297,-6.5005445,481.09958,144.49483999999998,367,234,3
296.2542,-7.175503,480.52117999999996,143.67056000000002,368,233,3
295.0195,-6.2826347,480.69858,145.10086,367,234,3
295.8007,-6.349869,480.39722,142.45212,367,233,3
296.0944,-6.417575,480.3044,142.49356,367,233,3
295.89612,-7.450232499999999,482.83963,144.16,367,233,3
294.3465,-3.7112760000000002,479.07315,146.4993,367,235,3
294.71738,-5.697627,478.78002999999995,144.85147,367,233,3
295.22213999999997,-6.342029599999999,480.87524,147.02585,368,234,3
295.63626,-6.6282034,481.21494,144.89108000000002,368,233,3
295.5763,-6.7436169999999995,479.7265,144.27725,367,233,3
294.7105,-5.160198,480.4922,145.7633,367,235,3
295.21182000000005,-5.219278299999999,479.49915,144.75558,367,234,3
295.47037,-4.3488693,479.51052999999996,145.63861,368,235,3
294.63742,-4.518957,480.7595,146.55524,367,235,3
295.26526,-2.3629474999999998,477.67438,144.54858000000002,367,236,3
296.1713,-1.7454671999999998,476.00797,143.54837,367,236,3
296.1829,-2.002201,478.72445999999997,144.07925,368,237,3
294.93344,-4.484782,479.32617,146.10123000000002,367,235,3
295.26187000000004,-0.012273788,474.78918,144.96765,367,237,3
294.94382,-3.7948465,478.67105,146.64526,368,235,3
294.25977,-2.4539566,476.14612,145.70087,367,235,3
295.3284,-2.2209119999999998,478.3485,145.22336,367,236,3
293.80536,-0.329504,476.2069,147.56555,367,237,3
293.90732,-0.8476639000000001,475.774,146.06923999999998,366,237,3
293.1338,-1.5350103000000002,476.65375,147.80553999999998,367,236,3
294.67386,-0.78404903,478.0909,145.5422,367,238,3
294.53986000000003,1.085887,475.91846,147.24039,368,239,3
295.67852999999997,1.7150116000000002,473.38477,145.50885,368,238,3
296.05602999999996,-0.7549381,477.01275999999996,145.88776000000001,368,237,3
295.2987,1.7328215,475.79427999999996,146.4892,368,239,3
295.91607999999997,3.3690834,474.45305999999994,144.40979,368,240,3
295.23737,3.243785,474.4644,146.40698,368,240,3
295.5749,2.960472,474.62997,145.73889,368,240,3
296.7116,4.695711,471.89255,143.75586,368,240,3
295.52954,3.1931448,474.48305999999997,145.72449,368,240,3
296.1334,2.8295374,473.8496,145.24628,368,239,3
295.88367,2.6778459999999997,474.87597999999997,145.4267,368,240,3
295.28348,2.4984026000000004,474.69577000000004,146.71933,368,239,3
296.83657999999997,2.0677470000000002,475.12942999999996,145.20715,369,239,3
295.41742,1.0233306999999998,478.33295,147.16345,368,240,3
297.12564,2.98203,475.59182999999996,144.5751,369,240,3
296.93242999999995,4.521116999999999,472.04114000000004,143.86608999999999,368,240,3
298.06226000000004,3.8829373999999994,472.58875,146.26623999999998,371,240,3
295.01592999999997,6.335678,470.29254000000003,147.67892,368,241,3
295.35992000000005,5.424628299999999,472.16513,144.89825,367,241,3
296.73364,6.3296269999999994,471.04105,145.33483999999999,369,241,3
296.92132999999995,7.0250845,469.3134,144.57166,369,241,3
295.32745,4.518299,470.45422,144.24341,367,239,3
296.54636,4.844698999999999,471.3685,144.27368,368,240,3
297.84653,4.6604633,472.79367,144.21945,369,241,3
296.74756,1.6794205000000002,476.65283,145.57376000000002,369,240,3
296.13004,4.2863703,471.43535999999995,145.89029,369,240,3
294.73163,4.7457647000000005,472.25705,146.28613,367,240,3
295.93185,3.9129066,473.59503,146.56082,369,240,3
295.66455,1.6228008,475.95065,147.09009,369,239,3
294.90753,4.7648335,471.34964,146.33856,368,240,3
296.1584,8.273735,468.33423,144.57968,368,242,3
297.22736000000003,3.2300663,473.86624000000006,145.67755,370,240,3
298.6534,2.5867223999999998,474.1976,145.16861,371,239,3
298.51254,1.1199188,475.79095,144.54843,370,239,3
296.46164,-1.5001917,479.66867,145.47617,369,238,3
297.2888,7.468672,467.5823,144.45938,369,241,3
296.1468,1.2190819,474.78348,145.27487,368,238,3
297.17557,2.6038742000000004,473.88467,145.27213,369,239,3
296.18475,4.1657925,472.5329,145.58511000000001,368,240,3
298.06894,7.0597460000000005,468.8447,143.96002,370,241,3
295.9745,7.249846499999999,468.9866,146.44128,369,241,3
297.39328,6.203885,470.81247,146.11545,370,241,3
298.465,7.006187400000001,466.50055,143.07468,370,240,3
298.01263,5.1658916,469.3982,144.48584,370,239,3
298.59732,6.4491606,469.8703,145.41592,371,241,3
295.98474,3.5804272000000004,471.5866,146.17099,369,239,3
296.24146,5.783472,470.7318,147.09229,369,241,3
296.21844,6.942086,471.62662,146.96317,369,242,3
296.55182,9.767375,467.5994,147.45917,370,243,3
296.15787,11.33553,464.23972000000003,146.58102,369,243,3
296.59763,9.459472,467.85155999999995,147.75204,370,243,3
295.94333,9.548264,467.73785,148.46631000000002,370,243,3
296.21442,10.130253,465.4851,146.8374,369,242,3
296.80435,10.384784,466.28635,145.98145,369,243,3
296.6798,13.641357000000001,463.70563,147.71124,370,245,3
295.66254,11.439571,466.23382999999995,148.06482,369,244,3
297.60504,14.287591,463.05344,146.92798,371,245,3
296.44055,14.705572,461.31403,145.69705,369,245,3
296.24698,12.49732,465.11478,146.61368000000002,369,245,3
297.19705,15.61851,462.90692,146.74142,370,247,3
297.09933,16.000427,459.68,145.86313,370,245,3
297.76373,16.525154,460.00435999999996,146.91302,371,246,3
296.59337999999997,13.715629999999999,463.32422,146.66617,369,245,3
296.52582,10.941439,465.7905,147.00003,370,243,3
295.20763999999997,13.322225,461.80172999999996,147.95218,369,244,3
295.61,11.028914,466.83267,147.64435,369,244,3
296.51764,13.057236999999999,463.54385,148.72748,370,244,3
296.94336,14.01834,463.51947,148.32238999999998,371,245,3
296.52643,13.552322,463.15545999999995,148.70006999999998,370,245,3
297.94385,10.127335,467.54095,146.04007,370,243,3
296.6261,11.022763000000001,465.90445,146.99331999999998,370,243,3
295.75244,11.175499,464.96674,147.60706000000002,369,243,3
296.83545,12.228556,463.9448,147.92725,370,244,3
296.1782,9.788675,466.75615999999997,147.59423999999999,369,243,3
295.92627000000005,13.119121,464.1636,148.63239,370,245,3
296.32693,14.519720000000001,463.6522,146.66861,369,246,3
295.1608,9.176488,468.6964,149.57162,369,243,3
295.46484,7.4724197,469.51517,147.92581,369,242,3
295.16174,6.791825299999999,469.7774,149.2019,369,241,3
296.38995,9.490972,466.44284000000005,147.14905,369,242,3
296.46896,7.657299000000001,469.6085,147.66128999999998,370,242,3
297.33693999999997,11.717033,464.36605999999995,146.38675,370,243,3
297.07922,12.250371000000001,463.47275,145.92748999999998,370,243,3
296.23992999999996,9.261045,467.8505,146.24573,369,243,3
295.28702000000004,13.171334,462.72104,146.14685,368,244,3
296.66815,10.125717999999999,465.98212,144.81577,369,243,3
297.30953999999997,11.487064,464.2921,144.58243000000002,369,243,3
296.86612,13.334341,461.69458,142.65152,368,244,3
296.41397,10.594667999999999,466.27814000000006,142.64029,367,243,3
297.26544,11.229644,462.7748,140.8074,367,242,3
297.21005,8.277884,464.2942,140.1117,367,240,3
294.52443999999997,8.713188,464.23874000000006,141.79031,365,240,3
296.0201,11.963339,460.67062000000004,139.35977,365,242,3
295.45917000000003,11.452575,460.3874,139.88855,365,241,3
294.45862,11.386528,461.78574000000003,140.20502,364,242,3
295.83502000000004,13.487004999999998,458.9711,137.1612,364,242,3
294.8827,14.369573999999998,456.7494,137.531,363,242,3
294.8366,17.020167999999998,453.67825,136.95087,363,243,3
293.714,19.319658,452.63354000000004,138.84063999999998,363,245,3
291.76917000000003,17.094997,453.99155,139.4201,361,244,3
290.17957,12.813807,458.60464,139.58258,359,242,3
287.94604,14.134082999999999,459.1037,141.65546,358,243,3
287.11422999999996,10.04312,459.5965,138.16885,356,239,3
285.47888,11.2015915,459.14095999999995,142.73568999999998,356,240,3
285.06296000000003,13.844304000000001,456.00113,142.95352,356,241,3
282.1858,15.701122,456.66497999999996,144.40143,354,244,3
281.72567999999995,13.381991000000001,459.60117,143.36551,353,243,3
280.76642000000004,15.352135,458.0265,141.8526,351,244,3
280.41528,13.860984,456.3577,140.78589,350,242,3
279.26974,11.606712,459.98123,144.06342,351,241,3
277.1451,12.890467999999998,459.27935999999994,143.60238999999999,348,242,3
277.8437,11.813191999999999,460.36514000000005,143.56671,349,241,3
274.87625,13.244432999999999,459.7064,145.17252,347,243,3
273.75458,13.237081,460.92734,144.30975,345,243,3
273.4341,9.254336,463.03842000000003,142.60468,344,240,3
270.7576,7.681217,468.39563,143.01645,342,241,3
270.4936,5.7116747000000005,470.2899,143.40662,342,240,3
268.06134,7.933731,465.4746,143.4043,339,240,3
268.63678,2.8307676,472.07947,145.00153,341,238,3
268.5496,5.779195,471.86075,146.72513,341,241,3
268.32092,4.782071,472.6838,145.56403,341,241,3
268.25527999999997,3.4454012,471.80753,144.01093,340,239,3
267.5597,4.5364094,470.18204000000003,144.30896,339,239,3
266.57016,4.6050024,470.92584000000005,145.76639,339,240,3
266.69903999999997,2.7943467999999996,474.80312999999995,146.31256000000002,339,240,3
267.25052,1.7169428,475.7859,147.33206,340,239,3
267.74158,1.2909937,473.88852,146.18233999999998,340,238,3
267.53643999999997,1.6757583999999999,473.74199999999996,146.31393,340,238,3
265.94162,2.7000332,474.74155,148.0214,339,240,3
266.02005,5.246644,469.5667,149.49799,340,240,3
267.84644,2.553277,474.2047,147.17248999999998,341,239,3
269.63745,5.70827,470.168,145.6189,342,240,3
270.29303,5.5269527,469.62314000000003,143.64655,342,240,3
270.07523,3.7619305,470.84094000000005,147.1492,343,239,3
272.1628,5.9035779999999995,468.17495999999994,147.22617,345,239,3
275.56777999999997,2.9938173,470.20532000000003,147.5409,349,238,3
275.85767000000004,3.0506659,469.28345,147.48993000000002,349,237,3
276.24973,-0.047421455,471.9278,145.37784,348,235,3
277.66705,3.2991028,469.48206,144.74033,350,238,3
281.42123,5.544176,465.69138,141.61093,352,238,3
282.85107,5.901203,464.92712,142.2269,353,238,3
285.6364,6.566777,461.6821,140.74683000000002,356,237,3
286.61984,5.565777,464.33893,143.27493,358,237,3
289.12198,5.351243,464.3301,143.05441000000002,360,237,3
290.26687999999996,5.059304,463.63147000000004,141.69534,361,236,3
289.93747,3.7881231,466.5473,143.62851,361,237,3
293.8885,4.7044516,465.66852,139.35193,363,237,3
292.80707,3.7731742999999995,466.25394000000006,141.94409,363,236,3
295.45435,4.1012907,468.90292,141.38308999999998,366,238,3
295.36945,2.637391,470.42297,143.30005,367,237,3
296.90454,3.953104,470.3242,143.58167,368,239,3
295.18536,4.682379,471.59564000000006,144.96268,367,240,3
297.05734,4.756651000000001,472.98865,145.34607,369,241,3
296.43057000000005,6.5532017,470.54913,144.14831999999998,368,241,3
295.995,5.0102519999999995,473.65375,146.21991,369,241,3
297.4137,5.965662,472.40454000000005,146.41473,370,242,3
298.04907000000003,3.8962555,475.7807,146.75363000000002,371,241,3
296.98438,4.049691999999999,475.32498,145.64905,369,241,3
298.2433,3.5066986000000004,475.57062,146.47873,371,241,3
297.12613,2.3339367,476.9512,147.08105,370,240,3
296.0434,2.9053116,475.84695,148.6853,370,240,3
295.69525,1.39678,477.88522,148.98969,370,240,3
294.77612,0.5738496999999999,479.52713,150.25647,369,240,3
294.66095,2.7671813999999997,477.22006,149.767,369,241,3
295.83316,3.7715006,475.0772,149.43433000000002,370,241,3
296.4306,5.3115606,472.65897,148.66699,370,241,3
298.11813,7.0812893,471.71365,147.69669,371,242,3
297.31885,7.2893,471.51633,148.75262,371,243,3
298.13907,4.909916,470.2058,150.02863,373,240,3
299.62576,10.08801,465.1266,149.14224,374,242,3
300.09323,5.8234835,469.8381,148.89084,374,240,3
299.43204,5.5715847,470.06485,149.965,374,240,3
298.1806,8.085723,467.83685,153.17035,374,242,3
298.84204,6.619062400000001,467.53545999999994,152.94116,375,240,3
300.1746,10.825911,464.1805,152.28372,376,242,3
298.71823,9.041505,467.1533,156.7894,377,242,3
299.67328,11.418586,462.88892000000004,153.88776000000001,376,242,3
301.6318,11.71247,461.68207,153.25455,378,242,3
301.1173,16.237965,455.3438,155.1391,378,243,3
301.02866,17.259864999999998,457.36227,154.81265,378,245,3
