x,y,h,w,c_x,c_y,class
297.86572,25.991335,315.43182,113.648315,354,183,6
298.91034,27.052074,315.04538,113.53699,355,184,6
298.92026,27.227983,312.34457,112.61719,355,183,6
299.05084,27.551952,311.3566,113.94714,356,183,6
299.75293,27.919264,309.73706,111.00409,355,182,6
298.49484,26.947216,312.61697,113.20801,355,183,6
298.0802,26.008915,311.42816,114.56232,355,181,6
300.54456,27.857822,310.09555,111.46594,356,182,6
299.2442,27.273518,312.8792,112.43152,355,183,6
299.60193,27.293615,310.491,111.868256,355,182,6
299.71463,28.340178,310.76535,111.57324,355,183,6
298.93286,28.488308,310.2413,112.07092,354,183,6
298.2504,27.309994,310.83295,114.02899,355,182,6
299.64032,28.671326,311.1623,111.01248,355,184,6
299.19876,27.535042,310.11334,111.10382,354,182,6
298.4366,27.829758,310.64215,112.207184,354,183,6
298.69516,27.098251,307.1557,112.022644,354,180,6
301.0944,28.764381,306.43134,110.736084,356,181,6
299.24057,27.290869,308.60403,112.53763,355,181,6
299.66336,26.695862,308.20828,113.18979,356,180,6
299.75677,28.342695,307.96704,111.537476,355,182,6
300.28864,27.098808,311.6692,110.908264,355,182,6
299.91702,28.144413,306.51758,110.94891,355,181,6
300.63235,28.086533,307.61267,109.80881,355,181,6
300.3028,27.127605,304.4878,110.12665,355,179,6
300.0662,27.926931,305.52206,109.704926,354,180,6
300.21704,27.20006,308.61542,111.265564,355,181,6
299.66336,27.664804,306.73224,111.127625,355,181,6
300.48904,27.271,307.5628,110.67688,355,181,6
301.70795,27.73799,306.27072,107.22876,355,180,6
300.12903,27.871815,308.9079,109.58966,354,182,6
301.16907,27.085161,306.7747,111.12479,356,180,6
301.06915,27.005981,308.27948,110.4624,356,181,6
301.3037,26.756372,306.53714,109.272705,355,180,6
301.74966,26.445522,307.3178,108.88986,356,180,6
302.35764,26.558819,306.1911,108.3143,356,179,6
301.5633,26.498207,307.7095,111.61331,357,180,6
301.92084,27.176285,308.34216,110.056854,356,181,6
301.8806,27.44997,306.92767,109.12308,356,180,6
301.0603,26.697865,307.65604,110.89072,356,180,6
300.87042,26.43611,308.64984,111.37726,356,180,6
301.6435,27.754726,305.78934,110.2572,356,180,6
302.1689,27.111626,307.1893,108.265045,356,180,6
301.83884,27.447094,305.54187,111.12335,357,180,6
301.08575,28.619385,306.50204,111.57202,356,181,6
301.33197,30.742264,301.10193,110.58389,356,181,6
300.32632,29.350548,303.62503,112.454254,356,181,6
302.15125,31.46952,300.8172,109.40662,356,181,6
301.20297,31.124653,301.87088,111.78854,357,182,6
301.1082,31.189728,302.4013,109.806274,356,182,6
301.08057,30.362877,301.72183,109.043274,355,181,6
301.93933,30.73594,302.40317,108.20264,356,181,6
300.69595,31.29653,302.8102,110.37659,355,182,6
301.2096,31.549444,301.76184,109.78604,356,182,6
301.11676,31.4333,301.59848,108.734924,355,182,6
300.2894,31.991043,302.34888,109.761444,355,183,6
301.26633,31.3381,302.84836,109.11133,355,182,6
300.7514,33.65028,299.99417,109.93036,355,183,6
301.09082,32.182144,299.88013,108.95529,355,182,6
300.5363,32.27028,300.68518,110.01669,355,182,6
299.71024,31.774006,301.90942,111.48093,355,182,6
300.1371,33.05948,300.17938,111.08179,355,183,6
299.34924,32.02379,301.7976,109.986694,354,182,6
299.95312,31.574577,301.9522,109.22284,354,182,6
299.6277,33.034485,300.04227,109.676056,354,183,6
300.05444,32.61662,302.8544,108.92447,354,184,6
299.58585,31.975508,302.0583,110.427826,354,183,6
300.08817,32.16638,301.29398,108.882904,354,182,6
301.02625,32.84666,300.74673,108.02969,355,183,6
299.55878,33.025032,302.02,110.69589,354,184,6
300.2518,32.38578,301.40292,109.86362,355,183,6
300.3228,31.194576,302.0745,109.1084,354,182,6
300.284,32.244816,301.835,108.12683,354,183,6
300.41083,31.407051,302.4464,109.17224,354,182,6
300.52414,32.106873,300.6091,107.57431,354,182,6
300.14462,31.58701,301.18903,108.53339,354,182,6
301.15787,31.0009,302.8142,107.48068,354,182,6
